player,name_key,team,pos,age,gp,gs,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,PER,ts_pct,usg_pct,OWS,DWS,WS,ws_per_48,OBPM,DBPM,BPM,VORP,salary_2025_26,salary_2026_27,contract_years_remaining,total_remaining_value,guaranteed_total,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,cap_pct,per36_pts,per36_reb,per36_ast,likely_rookie_scale,predicted_cap_pct,predicted_aav,surplus_value,contract_type,contract_grade,small_sample_caveat
Karl-Anthony Towns,karlanthony towns,NYK,C,30,75,75,31.0,20.1,11.9,3.0,0.9,0.5,2.5,0.501,0.368,0.858,0.556,22.0,0.619,25.9,5.5,4.0,9.5,0.197,2.7,0.6,3.3,3.1,53142264.0,57078728.0,3.0,171236184.0,110220992.0,53142264.0,57078728.0,61015192.0,,,,0.3436359192224873,23.34193548387097,13.819354838709678,3.4838709677419355,False,0.2309241665931202,35711729.59112626,-17430534.408873737,Max / Supermax,Significant overpay,False
Bam Adebayo,bam adebayo,MIA,C,28,73,73,32.4,20.1,10.0,3.2,1.2,0.7,1.6,0.442,0.318,0.778,0.497,18.7,0.551,25.0,2.8,3.6,6.4,0.129,1.5,0.4,2.0,2.4,37096620.0,49800000.0,4.0,198448620.0,140680620.0,37096620.0,49800000.0,53784000.0,57768000.0,,,0.23987933810549186,22.333333333333336,11.111111111111112,3.555555555555556,False,0.2365449456976765,36580966.21730858,-515653.7826914191,Veteran (above-MLE),Fair value,False
LaMelo Ball,lamelo ball,CHO,PG,24,72,69,28.0,20.1,4.8,7.1,1.2,0.2,2.8,0.407,0.368,0.899,0.516,19.7,0.546,32.0,3.6,2.6,6.2,0.147,4.8,-0.1,4.7,3.4,37958760.0,40770520.0,4.0,168705600.0,168705600.0,37958760.0,40770520.0,43582280.0,46394040.0,,,0.2454542280160624,25.84285714285714,6.171428571428572,9.128571428571428,False,0.1523106342322201,23554382.65211014,-14404377.34788986,Veteran (above-MLE),Significant overpay,False
Jimmy Butler,jimmy butler,GSW,SF,36,38,38,31.1,20.0,5.6,4.9,1.4,0.2,1.6,0.519,0.376,0.864,0.554,,,,,,,,,,,,54126450.0,56832773.0,2.0,110959223.0,110959223.0,54126450.0,56832773.0,,,,,0.35,23.15112540192926,6.482315112540192,5.672025723472669,False,0.2630268995614051,40676320.93647262,-13450129.063527383,Max / Supermax,Significant overpay,True
Ja Morant,ja morant,MEM,PG,26,20,20,28.5,19.5,3.3,8.1,1.0,0.3,3.6,0.41,0.235,0.897,0.441,,,,,,,,,,,,39446090.0,42166510.0,3.0,126499530.0,126499530.0,39446090.0,42166510.0,44886930.0,,,,0.2550718086998131,24.63157894736842,4.168421052631579,10.23157894736842,False,0.1377969664148616,21309887.465159103,-18136202.534840897,Veteran (above-MLE),Significant overpay,True
Jalen Duren,jalen duren,DET,C,22,70,70,28.2,19.5,10.5,2.0,0.8,0.8,1.9,0.65,0.0,0.747,0.65,,,,,,,,,,,,6483144.0,,1.0,6483144.0,6483144.0,6483144.0,,,,,,0.04192220993617723,24.893617021276597,13.404255319148936,2.5531914893617023,True,,,,Veteran,Unknown,False
Jaren Jackson Jr.,jaren jackson jr,TOT,C,26,48,48,30.3,19.4,5.7,2.0,1.1,1.4,2.2,0.476,0.357,0.803,0.534,,,,,,,,,,,,35000000.0,49000000.0,5.0,240000000.0,186500000.0,35000000.0,49000000.0,50500000.0,52000000.0,53500000.0,,0.22632188144613216,23.04950495049505,6.772277227722772,2.376237623762376,False,0.19943536421958563,30842080.77046626,-4157919.2295337394,Veteran (above-MLE),Slight overpay,False
RJ Barrett,rj barrett,TOR,SF,25,57,57,30.3,19.3,5.3,3.3,0.7,0.3,1.7,0.491,0.339,0.717,0.55,,,,,,,,,,,,27705357.0,29616071.0,2.0,57321428.0,57321428.0,27705357.0,29616071.0,,,,,0.17915224349647907,22.930693069306933,6.297029702970296,3.9207920792079203,False,0.14841446471146807,22951851.724234402,-4753505.275765598,Mid-level range,Slight overpay,False
Zach LaVine,zach lavine,SAC,SG,30,39,37,31.4,19.2,2.8,2.3,0.7,0.3,1.9,0.479,0.39,0.88,0.569,,,,,,,,,,,,47499660.0,48967380.0,2.0,96467040.0,47499660.0,47499660.0,48967380.0,,,,,0.30714892626433105,22.012738853503183,3.2101910828025475,2.6369426751592355,False,0.16169134737624347,25005081.797693923,-22494578.202306077,Max / Supermax,Significant overpay,True
CJ McCollum,cj mccollum,TOT,PG,34,76,60,29.8,18.7,3.3,3.9,0.8,0.5,1.8,0.455,0.375,0.772,0.538,15.9,0.566,25.7,1.9,1.0,3.0,0.063,1.4,-1.7,-0.3,1.0,30666666.0,,1.0,30666666.0,30666666.0,30666666.0,,,,,,0.19830107276571807,22.590604026845636,3.9865771812080535,4.7114093959731544,False,0.23821959404126133,36839945.55969894,6173279.559698939,Veteran (above-MLE),Good value,False
De'Aaron Fox,deaaron fox,SAS,PG,28,72,72,31.0,18.6,3.8,6.2,1.2,0.3,2.3,0.486,0.332,0.76,0.549,17.6,0.578,24.9,3.4,3.0,6.4,0.138,1.5,0.6,2.2,2.4,37096620.0,49800000.0,5.0,260200620.0,260200620.0,37096620.0,49800000.0,53784000.0,57768000.0,61752000.0,,0.23987933810549186,21.6,4.412903225806452,7.2,False,0.1609327109110091,24887760.944254827,-12208859.055745173,Veteran (above-MLE),Significant overpay,False
Jerami Grant,jerami grant,POR,PF,31,57,38,29.7,18.6,3.5,2.1,0.7,0.6,2.1,0.453,0.389,0.814,0.547,,,,,,,,,,,,32000001.0,34206898.0,3.0,102620689.0,66206899.0,32000001.0,34206898.0,36413790.0,,,,0.20692286950280317,22.545454545454547,4.242424242424242,2.545454545454546,False,0.19002661462638093,29387045.87212593,-2612955.127874069,Veteran (above-MLE),Fair value,False
Kon Knueppel,kon knueppel,CHO,SF,20,81,80,31.5,18.5,5.3,3.4,0.7,0.2,2.0,0.475,0.425,0.863,0.601,17.1,0.633,22.3,5.6,2.5,8.0,0.151,3.1,-0.4,2.8,3.1,10015680.0,10516560.0,4.0,45487014.0,20532240.0,10015680.0,10516560.0,11017560.0,13937214.0,,,0.06476478690178276,21.142857142857142,6.057142857142857,3.8857142857142852,True,0.08209113988183066,12695148.509305466,2679468.509305466,Veteran,Rookie scale (locked-in value),False
DeMar DeRozan,demar derozan,SAC,PF,36,77,77,31.2,18.4,2.9,4.1,1.0,0.3,1.2,0.497,0.32,0.868,0.52,17.8,0.594,22.8,5.2,0.4,5.6,0.112,0.9,-1.0,-0.1,1.1,24570000.0,25740000.0,2.0,50310000.0,24570000.0,24570000.0,25740000.0,,,,,0.15887796077518476,21.23076923076923,3.3461538461538463,4.730769230769231,False,0.22759985414524514,35197634.643999726,10627634.643999726,Mid-level range,Significant bargain,False
Amen Thompson,amen thompson,HOU,PG,23,79,79,37.4,18.3,7.8,5.3,1.5,0.6,2.4,0.534,0.216,0.779,0.545,18.9,0.594,20.0,6.5,3.8,10.3,0.167,1.6,1.0,2.6,3.4,9690600.0,12258609.0,2.0,21949209.0,21949209.0,9690600.0,12258609.0,,,,,0.06266270926691109,17.614973262032088,7.508021390374331,5.101604278074866,False,0.1768930668208485,27355982.104643755,17665382.104643755,Veteran,Significant bargain,False
Evan Mobley,evan mobley,CLE,PF,24,65,63,31.9,18.2,9.0,3.6,0.7,1.7,1.9,0.546,0.297,0.606,0.582,20.0,0.596,22.6,3.6,2.9,6.5,0.15,1.8,1.2,3.0,2.6,46394100.0,50105628.0,5.0,269085780.0,269085780.0,46394100.0,50105628.0,53817156.0,57528684.0,61240212.0,,0.3,20.539184952978054,10.156739811912226,4.06269592476489,False,0.17752225174742903,27453283.665984657,-18940816.334015343,Max / Supermax,Significant overpay,False
Scottie Barnes,scottie barnes,TOR,PF,24,80,80,33.5,18.1,7.5,5.9,1.4,1.5,2.6,0.507,0.304,0.815,0.537,19.2,0.577,23.4,3.3,4.5,7.8,0.14,1.9,2.3,4.2,4.2,38661750.0,41754690.0,5.0,224238150.0,224238150.0,38661750.0,41754690.0,44847630.0,47940570.0,51033510.0,,0.25,19.45074626865672,8.059701492537314,6.340298507462687,False,0.20606070146838867,31866669.299981903,-6795080.700018097,Veteran (above-MLE),Slight overpay,False
Jalen Green,jalen green,PHO,SG,23,32,27,25.9,17.8,3.6,2.8,1.1,0.3,2.3,0.422,0.313,0.747,0.491,,,,,,,,,,,,33584499.0,36251166.0,3.0,105835665.0,69835665.0,33584499.0,36251166.0,36000000.0,,,,0.2171687714601641,24.741312741312743,5.003861003861004,3.891891891891892,False,0.1047456913337199,16198606.927685782,-17385892.072314218,Veteran (above-MLE),Significant overpay,True
Saddiq Bey,saddiq bey,NOP,SF,26,72,64,31.2,17.7,5.6,2.5,0.9,0.1,0.9,0.451,0.367,0.841,0.529,17.1,0.579,21.6,4.5,1.0,5.4,0.116,2.3,-1.8,0.5,1.4,,,,,,,,,,,,,20.423076923076923,6.461538461538462,2.884615384615385,False,0.1396560805164378,21597393.883625556,,Veteran,Unknown,False
Bennedict Mathurin,bennedict mathurin,TOT,SF,23,54,25,30.0,17.6,5.4,2.4,0.8,0.2,2.2,0.43,0.315,0.869,0.485,,,,,,,,,,,,9187573.0,,1.0,9187573.0,9187573.0,9187573.0,,,,,,0.05940996592239099,21.12,6.48,2.88,False,0.1377797740760724,21307228.721542366,12119655.721542366,Veteran,Significant bargain,False
Coby White,coby white,TOT,SG,25,50,26,25.0,17.4,3.4,4.0,0.5,0.1,2.6,0.446,0.362,0.817,0.539,,,,,,,,,,,,12888889.0,,1.0,12888889.0,12888889.0,12888889.0,,,,,,0.08334393166372449,25.055999999999997,4.896000000000001,5.76,False,0.11132568292113795,17216182.88670522,4327293.88670522,Mid-level range,Good value,False
Kevin Porter Jr.,kevin porter jr,MIL,PG,25,38,36,33.2,17.4,5.2,7.4,2.2,0.5,2.9,0.465,0.322,0.878,0.51,,,,,,,,,,,,,,,,,,,,,,,,18.867469879518072,5.63855421686747,8.024096385542169,False,,,,Veteran,Unknown,True
Paul George,paul george,PHI,PF,35,37,37,30.7,17.3,5.3,3.6,1.7,0.4,1.7,0.439,0.392,0.82,0.536,,,,,,,,,,,,51666090.0,54126380.0,3.0,162379140.0,105792470.0,51666090.0,54126380.0,56586670.0,,,,0.3340904770218627,20.286644951140065,6.214983713355049,4.221498371335505,False,0.2676983688879104,41398749.65340868,-10267340.346591324,Max / Supermax,Significant overpay,True
Ryan Rollins,ryan rollins,MIL,PG,23,74,67,32.1,17.3,4.6,5.6,1.5,0.4,2.7,0.472,0.406,0.796,0.561,16.2,0.583,24.2,1.7,1.8,3.4,0.069,0.7,-0.5,0.2,1.3,,,,,,,,,,,,,19.401869158878505,5.158878504672897,6.280373831775701,False,0.156059641961967,24134155.45049231,,Veteran,Unknown,False
